,country,state,district,block,rainfall_mm,year,ground_water_extraction_ham,ground_water_recharge_ham,stage_percent,category
1,INDIA,HARYANA,BHIWANI,BAWANI KHERA,136.48,2019,3746,"5,588.03",67.03614691,Safe
2,INDIA,HARYANA,BHIWANI,BAWANI KHERA,136.48,2020,3746,"5,588.03",67.03614691,Safe
3,INDIA,HARYANA,BHIWANI,BAWANI KHERA,136.48,2021,3746,"5,588.03",67.03614691,Safe
4,INDIA,HARYANA,BHIWANI,BAWANI KHERA,136.48,2022,3746,"5,588.03",67.03614691,Safe
5,INDIA,HARYANA,BHIWANI,BAWANI KHERA,136.48,2023,3746,"5,588.03",67.03614691,Safe
6,INDIA,HARYANA,BHIWANI,BAWANI KHERA,136.48,2024,3746,"5,588.03",67.03614691,Safe
7,INDIA,HARYANA,BHIWANI,BEHAL,327.09,2019,4467.6,"3,451.73",129.4307492,Over-Exploited
8,INDIA,HARYANA,BHIWANI,BEHAL,327.09,2020,4467.6,"3,451.73",129.4307492,Over-Exploited
9,INDIA,HARYANA,BHIWANI,BEHAL,327.09,2021,4467.6,"3,451.73",129.4307492,Over-Exploited
10,INDIA,HARYANA,BHIWANI,BEHAL,327.09,2022,4467.6,"3,451.73",129.4307492,Over-Exploited
11,INDIA,HARYANA,BHIWANI,BEHAL,327.09,2023,4467.6,"3,451.73",129.4307492,Over-Exploited
12,INDIA,HARYANA,BHIWANI,BEHAL,327.09,2024,4467.6,"3,451.73",129.4307492,Over-Exploited
13,INDIA,HARYANA,BHIWANI,BHIWANI,339.21,2019,8743,12813.52,68.2326168,Safe
14,INDIA,HARYANA,BHIWANI,BHIWANI,339.21,2020,8743,12813.52,68.2326168,Safe
15,INDIA,HARYANA,BHIWANI,BHIWANI,339.21,2021,8743,12813.52,68.2326168,Safe
16,INDIA,HARYANA,BHIWANI,BHIWANI,339.21,2022,8743,12813.52,68.2326168,Safe
17,INDIA,HARYANA,BHIWANI,BHIWANI,339.21,2023,8743,12813.52,68.2326168,Safe
18,INDIA,HARYANA,BHIWANI,BHIWANI,339.21,2024,8743,12813.52,68.2326168,Safe
19,INDIA,HARYANA,BHIWANI,KAIRU,227.68,2019,4080.5,6812.66,59.89584098,Safe
20,INDIA,HARYANA,BHIWANI,KAIRU,227.68,2020,4080.5,6812.66,59.89584098,Safe
21,INDIA,HARYANA,BHIWANI,KAIRU,227.68,2021,4080.5,6812.66,59.89584098,Safe
22,INDIA,HARYANA,BHIWANI,KAIRU,227.68,2022,4080.5,6812.66,59.89584098,Safe
23,INDIA,HARYANA,BHIWANI,KAIRU,227.68,2023,4080.5,6812.66,59.89584098,Safe
24,INDIA,HARYANA,BHIWANI,KAIRU,227.68,2024,4080.5,6812.66,59.89584098,Safe
25,INDIA,HARYANA,BHIWANI,LOHARU,422.66,2019,6530.5,11602.42,56.28567144,Safe
26,INDIA,HARYANA,BHIWANI,LOHARU,422.66,2020,6530.5,11602.42,56.28567144,Safe
27,INDIA,HARYANA,BHIWANI,LOHARU,422.66,2021,6530.5,11602.42,56.28567144,Safe
28,INDIA,HARYANA,BHIWANI,LOHARU,422.66,2022,6530.5,11602.42,56.28567144,Safe
29,INDIA,HARYANA,BHIWANI,LOHARU,422.66,2023,6530.5,11602.42,56.28567144,Safe
30,INDIA,HARYANA,BHIWANI,LOHARU,422.66,2024,6530.5,11602.42,56.28567144,Safe
31,INDIA,HARYANA,BHIWANI,SIWANI,195.07,2019,2803.2,5144.04,54.49413302,Safe
32,INDIA,HARYANA,BHIWANI,SIWANI,195.07,2020,2803.2,5144.04,54.49413302,Safe
33,INDIA,HARYANA,BHIWANI,SIWANI,195.07,2021,2803.2,5144.04,54.49413302,Safe
34,INDIA,HARYANA,BHIWANI,SIWANI,195.07,2022,2803.2,5144.04,54.49413302,Safe
35,INDIA,HARYANA,BHIWANI,SIWANI,195.07,2023,2803.2,5144.04,54.49413302,Safe
36,INDIA,HARYANA,BHIWANI,SIWANI,195.07,2024,2803.2,5144.04,54.49413302,Safe
37,INDIA,HARYANA,BHIWANI,TOSHAM,339.1,2019,11572.5,15641.7,73.98492491,Semi-Critical
38,INDIA,HARYANA,BHIWANI,TOSHAM,339.1,2020,11572.5,15641.7,73.98492491,Semi-Critical
39,INDIA,HARYANA,BHIWANI,TOSHAM,339.1,2021,11572.5,15641.7,73.98492491,Semi-Critical
40,INDIA,HARYANA,BHIWANI,TOSHAM,339.1,2022,11572.5,15641.7,73.98492491,Semi-Critical
41,INDIA,HARYANA,BHIWANI,TOSHAM,339.1,2023,11572.5,15641.7,73.98492491,Semi-Critical
42,INDIA,HARYANA,BHIWANI,TOSHAM,339.1,2024,11572.5,15641.7,73.98492491,Semi-Critical
43,INDIA,HARYANA,CHARKHI DADRI,BADHRA,343.99,2019,14604.51,18732.39,77.96394374,Semi-Critical
44,INDIA,HARYANA,CHARKHI DADRI,BADHRA,343.99,2020,14604.51,18732.39,77.96394374,Semi-Critical
45,INDIA,HARYANA,CHARKHI DADRI,BADHRA,343.99,2021,14604.51,18732.39,77.96394374,Semi-Critical
46,INDIA,HARYANA,CHARKHI DADRI,BADHRA,343.99,2022,14604.51,18732.39,77.96394374,Semi-Critical
47,INDIA,HARYANA,CHARKHI DADRI,BADHRA,343.99,2023,14604.51,18732.39,77.96394374,Semi-Critical
48,INDIA,HARYANA,CHARKHI DADRI,BADHRA,343.99,2024,14604.51,18732.39,77.96394374,Semi-Critical
49,INDIA,HARYANA,CHARKHI DADRI,BAUND,530.34,2019,1192.15,7556.23,15.77704755,Safe
50,INDIA,HARYANA,CHARKHI DADRI,BAUND,530.34,2020,1192.15,7556.23,15.77704755,Safe
51,INDIA,HARYANA,CHARKHI DADRI,BAUND,530.34,2021,1192.15,7556.23,15.77704755,Safe
52,INDIA,HARYANA,CHARKHI DADRI,BAUND,530.34,2022,1192.15,7556.23,15.77704755,Safe
53,INDIA,HARYANA,CHARKHI DADRI,BAUND,530.34,2023,1192.15,7556.23,15.77704755,Safe
